life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
74.2,8.4,13.61,18867.68,0.7573,High
58.09,2.28,8.83,1291.88,0.4175,Low
62.19,8.16,12.32,4881.03,0.6163,Medium
60.6,6.15,10.89,2571.44,0.5377,Low
78.55,10.68,15.91,31337.82,0.8546,Very High
53.23,4.41,4.31,643.18,0.3372,Low
60.11,4.84,7.23,1796.46,0.4603,Low
76.19,11.9,14.56,21279.3,0.8246,Very High
55.93,0.5,8.42,523.63,0.3259,Low
59.1,4.52,8.88,2835.98,0.4943,Low
79.89,11.01,16.53,29732.91,0.8685,Very High
60.73,1.83,7.16,835.17,0.3737,Low
68.71,8.78,11.86,4242.38,0.6414,Medium
50.03,1.48,6.58,515.61,0.2984,Low
60.58,4.81,8.09,1686.63,0.4682,Low
56.02,6.24,10.6,2069.82,0.5033,Low
57.4,6.47,5.0,812.86,0.4012,Low
81.43,6.48,15.16,26834.11,0.7982,High
60.27,8.31,10.2,7618.93,0.6102,Medium
55.11,4.94,10.46,903.9,0.434,Low
56.96,2.55,7.4,304.36,0.3028,Low
86,14.0,16.37,95000,0.9731,Very High
86,13.82,16.76,76457.49,0.9747,Very High
73.23,13.04,15.4,27807.64,0.8436,Very High
72.88,6.34,12.89,9722.0,0.6841,Medium
79.39,9.08,12.63,17126.09,0.7742,High
86,11.69,16.11,95000,0.9424,Very High
53.47,4.04,6.93,651.57,0.3626,Low
82.76,12.85,15.26,41522.4,0.9084,Very High
79.17,11.57,11.85,32559.85,0.8285,Very High
81.63,8.07,16.21,25589.17,0.8297,Very High
81.5,12.78,16.05,70969.57,0.9353,Very High
62.23,2.89,10.26,890.16,0.4341,Low
62.13,3.47,10.77,916.82,0.4481,Low
55.71,3.96,7.49,1661.03,0.4297,Low
53.16,0.5,9.1,760.38,0.348,Low
85.8,12.85,13.69,71242.69,0.9293,Very High
84.8,14.5,17.56,73109.93,0.988,Very High
76.94,14.45,16.05,29728.42,0.8874,Very High
51.65,0.91,8.46,581.36,0.325,Low
59.29,5.48,8.88,1807.22,0.4841,Low
45.15,3.61,9.68,379.28,0.3119,Low
63.62,8.73,13.08,6399.92,0.6509,Medium
76.69,9.65,15.87,45312.08,0.8501,Very High
78.63,12.57,15.98,38352.83,0.8876,Very High
51.35,5.59,4.19,915.42,0.3655,Low
48.68,1.87,6.58,665.01,0.3139,Low
86,14.5,16.83,69819.11,0.9797,Very High
59.47,6.42,7.75,958.87,0.4465,Low
58.7,6.0,11.15,1786.67,0.5094,Low
81.55,12.41,13.89,39944.75,0.8814,Very High
71.01,8.69,14.37,14644.42,0.7412,High
66.92,6.63,8.56,2237.02,0.5378,Low
66.19,6.82,10.27,5509.39,0.6043,Medium
78.03,12.93,15.57,57215.6,0.9043,Very High
57.75,5.02,8.53,1090.34,0.4392,Low
50.22,4.5,9.3,613.4,0.3733,Low
73.37,5.76,10.15,8784.24,0.6407,Medium
72.18,12.02,14.81,44165.08,0.8434,Very High
80.55,10.2,18,45402.64,0.8976,Very High
72.24,8.93,13.5,14310.33,0.7401,High
86,12.35,18,92505.8,0.9697,Very High
71.96,14.5,14.49,68888.85,0.8875,Very High
66.53,3.07,10.46,1718.09,0.4944,Low
62.43,7.44,6.84,3725.09,0.5386,Low
74.05,9.38,13.02,30534.47,0.7855,High
49.45,2.3,11.44,786.64,0.3818,Low
72.34,8.92,10.58,8171.78,0.6816,Medium
60.96,7.68,10.13,3607.15,0.5682,Medium
63.03,6.64,8.85,1708.83,0.51,Low
79.69,12.75,15.68,35304.9,0.888,Very High
86,12.22,15.39,57806.21,0.9291,Very High
66.6,6.76,12.06,5404.56,0.6234,Medium
77.09,13.7,16.49,91358.13,0.9296,Very High
73.64,10.06,14.43,10587.88,0.7535,High
81.57,8.29,13.3,24257.98,0.7976,High
58.73,5.39,11.62,1683.2,0.5035,Low
53.68,4.97,7.03,424.6,0.3444,Low
71.41,5.87,10.52,6246.95,0.6223,Medium
66.32,6.98,13.26,6341.79,0.6451,Medium
74.35,11.26,11.11,9289.22,0.7315,High
60.96,2.26,7.25,865.36,0.3845,Low
66.24,7.92,13.72,3042.53,0.6186,Medium
71.27,8.05,12.82,13548.01,0.7148,High
77.37,10.38,16.79,24425.1,0.8414,Very High
74.09,8.67,13.13,9198.83,0.719,High
81.22,11.41,15.45,82973.4,0.9135,Very High
52.94,5.24,9.59,1368.62,0.4453,Low
47.7,2.97,8.09,616.83,0.3359,Low
70.05,8.32,13.63,13790.86,0.7217,High
79.55,10.57,16.67,95000,0.9073,Very High
80.55,12.63,16.19,36479.05,0.8974,Very High
79.94,8.94,13.41,25899.08,0.8036,Very High
67.5,5.64,13.82,23247.27,0.7006,High
69.71,6.79,9.22,3139.51,0.577,Medium
76.28,11.82,14.84,14879.98,0.8081,Very High
65.79,9.26,15.38,11754.69,0.72,High
58.05,4.44,7.81,1400.76,0.4401,Low
79.17,12.46,13.99,26349.88,0.851,Very High
62.31,4.62,10.29,2404.21,0.5162,Low
56.99,7.68,5.32,1733.81,0.4626,Low
71.87,8.22,14.05,8425.51,0.7081,High
77.88,12.4,18,48436.24,0.9124,Very High
56.07,4.98,3.96,733.24,0.3585,Low
63.45,9.21,11.41,4020.33,0.6151,Medium
74.6,10.85,14.38,12243.52,0.7743,High
79.97,12.6,11.32,25105.31,0.827,Very High
48.82,1.57,3.13,804.45,0.269,Low
66.01,6.45,10.0,3247.42,0.5682,Medium
62.58,4.7,8.42,1896.84,0.4845,Low
57.43,3.44,9.96,1712.98,0.459,Low
74.32,10.9,12.03,10921.2,0.7448,High
72.49,9.23,18,14980.72,0.7903,High
65.07,4.95,11.42,3588.99,0.5655,Medium
79.77,12.72,15.96,53413.46,0.9112,Very High
73.64,9.59,12.33,25059.52,0.7696,High
53.5,1.6,5.86,484.72,0.2984,Low
81.75,11.08,18,89962.32,0.9383,Very High
60.91,7.88,9.56,3876.22,0.5684,Medium
72.02,8.72,12.25,14311.26,0.7234,High
57.74,4.47,9.38,1622.85,0.4643,Low
76.61,10.4,14.85,20872.41,0.811,Very High
56.59,6.02,9.04,1475.13,0.4693,Low
64.88,5.68,10.35,2773.18,0.5487,Low
67.54,5.68,12.49,2048.22,0.5634,Medium
74.44,9.88,10.48,14724.67,0.7319,High
53.44,4.2,8.62,686.17,0.3844,Low
68.26,7.65,12.55,5097.61,0.6433,Medium
75.54,13.09,17.33,35420.87,0.8858,Very High
55.14,0.73,7.32,580.49,0.3197,Low
59.4,4.68,13.57,4984.57,0.5757,Medium
48.08,6.25,7.77,1247.12,0.4119,Low
81.56,9.29,15.61,37364.6,0.8573,Very High
83.28,10.95,14.66,19792.03,0.8437,Very High
72.62,6.36,13.23,11205.63,0.6942,Medium
68.53,6.35,12.51,1979.34,0.5731,Medium
56.29,3.09,6.97,831.68,0.3755,Low
56.7,7.03,7.53,1310.26,0.46,Low
60.05,6.7,11.55,8064.78,0.6058,Medium
67.76,7.12,11.04,6174.88,0.629,Medium
60.34,4.48,11.02,2211.76,0.5095,Low
86,13.59,18,95000,0.9841,Very High
80.89,10.94,14.04,40583.86,0.8623,Very High
86,13.0,15.54,67942.84,0.948,Very High
51.27,5.27,5.22,1570.19,0.4004,Low
69.09,8.11,10.44,4253.49,0.6213,Medium
64.36,6.53,12.6,4167.74,0.602,Medium
70.06,10.49,13.53,14186.2,0.7479,High
82.39,12.83,16.79,80937.45,0.9503,Very High
66.3,7.0,10.59,6813.57,0.6211,Medium
54.16,2.19,5.41,940.21,0.3413,Low
82.49,14.37,16.45,71045.69,0.9627,Very High
59.78,5.65,7.65,907.17,0.4339,Low
74.91,11.92,11.16,12127.48,0.7566,High
76.95,9.89,11.06,32834.13,0.7876,High
73.48,9.85,12.7,39916.53,0.7973,High
86,13.84,15.96,70355.15,0.964,Very High
85.17,10.83,12.24,62286.12,0.8799,Very High
50.5,2.8,9.18,1162.61,0.3927,Low
74.53,7.41,8.85,13647.87,0.6746,Medium
82.31,10.88,18,52147.84,0.9211,Very High
68.61,8.13,10.06,3666.94,0.6073,Medium
58.08,2.45,8.29,1435.42,0.4189,Low
73.84,10.96,12.54,14061.5,0.7615,High
79.29,9.14,15.45,14576.02,0.7957,High
73.43,10.3,12.4,19719.27,0.7671,High
67.9,6.92,12.23,6596.35,0.6432,Medium
64.18,2.91,8.74,1872.91,0.4676,Low
53.8,2.72,7.6,804.09,0.367,Low
60.0,8.02,8.6,1680.73,0.5102,Low
83.56,10.84,17.19,28402.51,0.8879,Very High
80.23,8.28,12.91,21060.15,0.7803,High
78.45,9.45,12.52,20845.8,0.7834,High
74.08,5.16,9.39,3889.66,0.584,Medium
50.41,4.23,6.84,318.72,0.3005,Low
84.35,9.89,13.32,29301.59,0.8408,Very High
63.62,6.44,13.48,7511.03,0.6366,Medium
55.15,3.07,8.95,1226.99,0.4158,Low
58.61,6.98,11.78,3566.3,0.5641,Medium
55.88,6.87,9.39,1710.04,0.4876,Low
70.11,6.64,7.57,1982.56,0.5315,Low
63.79,6.77,11.73,5014.69,0.6035,Medium
58.31,4.94,6.55,1309.99,0.4297,Low
71.17,8.49,12.28,8360.43,0.6899,Medium
63.94,8.43,4.01,2563.63,0.5065,Low
79.36,11.04,14.11,30042.99,0.8425,Very High
77.45,10.58,18,50628.68,0.8916,Very High
69.55,3.71,7.84,2572.36,0.5035,Low
66.21,3.64,6.82,2240.55,0.4698,Low
73.82,7.77,11.67,5287.95,0.6615,Medium
86,14.5,16.22,67695.46,0.9724,Very High
48.98,0.5,7.97,506.64,0.2963,Low
47.58,2.59,10.22,675.71,0.3566,Low
78.79,8.19,14.25,15216.46,0.7715,High
62.75,5.91,10.28,2005.64,0.5239,Low
70.56,9.47,10.39,10325.7,0.6905,Medium
71.11,7.0,8.25,3984.34,0.5871,Medium
71.84,6.81,12.59,10775.44,0.6877,Medium
86,13.84,15.97,64755.9,0.96,Very High
73.08,10.99,13.33,21857.41,0.7881,High
71.28,9.0,12.53,6006.94,0.6813,Medium
86,14.34,18,63228.39,0.984,Very High
68.7,12.64,11.86,19507.67,0.7653,High
59.7,3.42,3.11,716.82,0.3315,Low
60.57,2.11,8.32,2369.22,0.448,Low
70.25,9.04,13.73,17496.24,0.7439,High
59.8,6.58,10.24,906.38,0.4684,Low
86,12.2,14.84,60060.53,0.9249,Very High
57.6,4.14,5.13,582.38,0.3508,Low
53.46,2.84,4.59,643.03,0.3179,Low
55.85,6.13,8.68,2695.4,0.4963,Low
67.5,9.21,12.06,8612.58,0.6809,Medium
59.78,7.13,5.54,1697.61,0.468,Low
53.82,0.5,5.83,855.42,0.3111,Low
58.33,5.06,6.65,1749.46,0.4484,Low
83.23,12.88,15.13,57186.74,0.9255,Very High
53.37,2.97,6.39,604.19,0.3379,Low
65.95,9.53,14.3,8413.12,0.6967,Medium
73.54,7.96,12.25,6591.8,0.6809,Medium
58.72,2.04,7.94,1576.68,0.4153,Low
64.1,8.68,9.79,4951.72,0.6078,Medium
76.41,10.28,12.92,31110.49,0.8082,Very High
61.84,3.27,10.85,1004.7,0.4516,Low
65.15,8.14,10.67,5510.22,0.6204,Medium
65.55,6.34,11.49,2736.83,0.5706,Medium
65.25,7.3,12.75,5009.63,0.6265,Medium
67.17,9.36,14.46,16350.03,0.736,High
71.73,9.93,10.25,8984.27,0.6931,Medium
75.38,11.04,17.0,33420.99,0.8565,Very High
65.47,4.6,7.45,2767.51,0.5018,Low
69.11,8.21,13.81,6699.43,0.6807,Medium
58.87,5.64,8.14,1168.37,0.4514,Low
60.46,2.31,6.49,1420.67,0.4005,Low
61.38,6.73,8.85,1260.07,0.4856,Low
73.06,10.1,14.58,9369.16,0.7461,High
51.83,3.56,8.97,513.71,0.3544,Low
76.06,8.48,11.43,7630.32,0.6972,Medium
45,4.42,7.68,594.64,0.3343,Low
73.33,9.55,15.62,32955.46,0.8146,Very High
72.5,11.65,12.17,16348.71,0.7673,High
71.17,9.96,13.44,10444.02,0.7306,High
75.91,11.41,15.93,44426.89,0.8671,Very High
65.81,6.96,11.68,4426.49,0.6078,Medium
52.01,3.38,4.61,637.6,0.3213,Low
82.3,9.72,14.15,50494.39,0.8646,Very High
48.68,2.28,7.5,393.89,0.2962,Low
57.77,4.88,10.4,2502.84,0.5035,Low
56.46,4.35,7.47,912.2,0.4041,Low
62.85,4.04,10.17,2308.4,0.5071,Low
75.86,10.33,17.31,29054.78,0.8469,Very High
72.55,10.87,15.04,19859.97,0.7958,High
61.45,3.55,7.83,1728.81,0.4517,Low
73.95,7.94,13.92,13485.82,0.7371,High
60.08,5.68,9.5,3380.44,0.5297,Low
73.99,6.82,12.15,14807.3,0.7076,High
64.89,6.07,11.32,5209.57,0.5972,Medium
55.97,5.0,9.44,2296.02,0.4825,Low
85.51,12.63,18,95000,0.973,Very High
67.84,7.21,11.23,4313.78,0.6136,Medium
68.94,6.03,7.41,3108.46,0.5418,Low
77.9,7.64,11.34,8982.06,0.7012,High
53.07,1.96,8.11,1239.12,0.3831,Low
68.09,8.49,12.83,10657.92,0.6935,Medium
60.72,4.63,11.76,1454.02,0.4958,Low
58.16,7.1,6.96,2635.34,0.4997,Low
55.16,3.41,8.68,433.11,0.349,Low
65.32,5.55,8.9,2479.09,0.5268,Low
79.77,11.7,15.51,63965.57,0.9031,Very High
49.87,6.29,8.27,414.98,0.3515,Low
82.69,9.83,14.03,31893.22,0.8446,Very High
70.55,5.69,14.13,8115.71,0.67,Medium
65.32,6.88,11.57,5035.2,0.6103,Medium
78.19,8.89,13.17,14087.84,0.7623,High
82.88,12.49,17.18,64068.48,0.945,Very High
49.83,0.55,10.72,776.54,0.3556,Low
61.54,9.77,10.72,7582.81,0.6387,Medium
77.88,8.57,14.43,20408.8,0.7889,High
81.27,12.57,15.6,55636.39,0.9155,Very High
62.51,5.81,6.52,764.03,0.4223,Low
71.93,6.89,14.75,11628.15,0.7159,High
60.11,9.04,15.72,9612.27,0.6797,Medium
76.04,7.07,11.16,6336.67,0.6656,Medium
76.94,9.24,10.12,9322.2,0.7071,High
62.8,8.94,13.77,8767.06,0.6716,Medium
68.51,10.25,14.92,17692.3,0.7613,High
67.82,10.23,12.25,11238.41,0.7098,High
52.88,4.98,7.2,1648.13,0.4279,Low
56.19,2.94,9.2,1136.17,0.4165,Low
59.86,5.42,8.09,1134.5,0.4501,Low
59.83,6.56,8.23,1827.77,0.4936,Low
86,14.5,17.49,84489.11,0.9896,Very High
86,11.48,16.37,67838.21,0.9378,Very High
55.71,4.56,7.09,2329.43,0.45,Low
53.88,1.09,5.31,491.36,0.2846,Low
58.42,7.16,10.95,2335.33,0.5344,Low
56.51,4.3,7.39,435.26,0.3517,Low
68.69,7.59,12.65,7884.12,0.6684,Medium
67.05,9.6,14.76,13955.44,0.7332,High
58.51,4.53,10.77,2392.21,0.5039,Low
58.27,4.28,10.11,2372.9,0.4923,Low
56.15,5.08,7.42,1078.41,0.4217,Low
71.98,10.7,14.2,11786.9,0.7565,High
74.58,8.12,12.61,9896.67,0.7127,High
70.48,6.97,13.78,19434.19,0.7246,High
57.0,4.16,9.48,866.84,0.4211,Low
45.49,3.83,7.51,489.18,0.3162,Low
50.75,1.13,7.21,1030.46,0.341,Low
58.46,4.56,9.35,1807.89,0.4741,Low
75.49,8.28,8.47,15461.71,0.6926,Medium
68.31,9.56,14.68,7152.34,0.7035,High
51.58,2.73,6.42,902.04,0.3516,Low
66.12,6.77,10.47,7939.99,0.6233,Medium
74.6,11.36,14.76,35496.74,0.8376,Very High
53.1,0.5,4.87,460.47,0.2614,Low
58.85,0.5,5.85,419.65,0.2852,Low
64.29,7.78,12.47,4143.61,0.6147,Medium
60.69,5.97,12.05,4587.77,0.578,Medium
61.38,7.1,9.11,3478.48,0.5508,Medium
82.89,8.95,13.82,22464.81,0.8143,Very High
77.49,8.73,14.86,20732.49,0.7946,High
56.52,3.61,8.84,2362.25,0.4613,Low
57.84,4.12,6.94,1083.1,0.4105,Low
52.82,5.49,6.94,624.72,0.3744,Low
51.62,3.71,6.44,1160.49,0.3792,Low
78.03,13.58,15.3,95000,0.9219,Very High
86,13.36,18,74531.38,0.9812,Very High
60.74,1.79,8.55,1058.87,0.4049,Low
76.93,13.03,11.69,27942.02,0.827,Very High
45,3.0,3,453.32,0.2524,Low
65.1,6.02,10.08,6258.79,0.5929,Medium
55.96,1.77,6.41,622.59,0.3308,Low
63.03,2.24,8.36,1261.06,0.4269,Low
71.06,9.77,12.81,13280.79,0.734,High
78.79,10.71,15.11,24317.47,0.8353,Very High
69.67,9.03,12.99,10673.8,0.7092,High
84.01,6.65,12.36,10991.05,0.7338,High
70.43,6.56,14.01,14187.86,0.7067,High
85.97,10.35,17.46,70039.84,0.9365,Very High
55.35,2.81,10.67,1446.62,0.4408,Low
63.9,7.82,10.96,5054.0,0.6092,Medium
52.79,6.04,7.51,1453.45,0.4374,Low
80.58,11.87,16.91,62832.8,0.9224,Very High
59.12,4.94,7.76,1489.4,0.4536,Low
64.33,4.39,8.26,979.47,0.4453,Low
72.52,8.37,12.26,22364.1,0.7423,High
62.19,6.82,10.34,7179.39,0.5996,Medium
52.4,3.13,7.7,679.75,0.3581,Low
81.94,13.26,17.51,50810.45,0.9408,Very High
76.6,9.67,14.78,33221.78,0.8241,Very High
61.62,5.67,11.15,2785.25,0.5434,Low
68.46,7.01,11.61,5445.73,0.6303,Medium
73.37,7.55,10.22,9763.16,0.6726,Medium
78.71,11.49,16.44,36572.16,0.8778,Very High
84.81,12.22,16.05,55548.84,0.933,Very High
53.65,3.9,7.29,1044.06,0.3936,Low
74.59,10.6,13.15,20767.72,0.7865,High
61.85,4.37,11.61,5207.85,0.5646,Medium
62.83,7.17,12.36,3514.81,0.5909,Medium
57.42,10.12,9.09,3067.71,0.56,Medium
70.91,11.43,12.61,22221.16,0.7761,High
58.39,0.95,8.24,1868.83,0.4081,Low
60.52,8.38,13.33,4418.65,0.6142,Medium
71.5,7.64,11.3,7301.77,0.6634,Medium
86,11.79,14.88,36832.37,0.8962,Very High
60.82,6.9,12.37,8304.3,0.6219,Medium
64.92,7.01,8.77,2601.4,0.5455,Low
81.77,11.75,17.47,28676.67,0.8931,Very High
75.98,9.07,15.22,16423.64,0.7836,High
74.67,7.23,11.43,11422.3,0.6954,Medium
71.37,8.58,12.56,7904.23,0.6918,Medium
71.63,12.5,15.87,30905.1,0.8387,Very High
72.36,9.04,13.48,11871.3,0.7324,High
65.49,5.83,10.61,2405.0,0.5478,Low
63.89,5.19,6.9,1463.94,0.4639,Low
68.0,8.51,12.1,11617.91,0.6902,Medium
59.15,4.42,9.18,857.12,0.4285,Low
46.08,2.91,7.6,672.67,0.3289,Low
63.78,8.32,12.98,10060.91,0.6689,Medium
75.78,10.67,14.36,18867.43,0.8003,Very High
86,13.36,14.69,63629.92,0.9406,Very High
60.49,5.34,7.73,3453.62,0.5077,Low
75.88,8.68,13.11,11673.06,0.7392,High
79.84,12.38,15.17,25071.86,0.8621,Very High
63.12,4.47,10.49,642.76,0.4346,Low
84.84,11.22,16.53,37758.44,0.9065,Very High
52.06,4.05,6.88,538.94,0.3446,Low
52.62,5.1,10.6,1944.32,0.4711,Low
45.52,1.1,7.26,452.95,0.2774,Low
61.29,3.11,11.6,2000.86,0.4966,Low
47.86,2.86,7.67,350.74,0.2926,Low
86,11.87,14.74,39527.38,0.8992,Very High
65.14,6.09,8.74,4144.1,0.5584,Medium
70.44,9.48,7.88,7784.15,0.6487,Medium
50.83,4.08,5.33,511.64,0.3215,Low
53.37,4.87,6.79,865.96,0.3888,Low
76.93,12.74,14.16,64266.92,0.8878,Very High
81.55,11.46,14.42,47706.04,0.8838,Very High
59.98,2.35,9.17,982.68,0.4135,Low
79.36,11.2,16.76,81170.72,0.915,Very High
63.97,3.07,6.61,1078.68,0.4111,Low
60.45,5.71,9.38,922.53,0.455,Low
59.46,3.64,13.32,3092.96,0.5368,Low
86,14.5,18,73949.23,0.9937,Very High
71.41,7.89,10.6,10843.48,0.6784,Medium
76.25,6.92,12.41,22221.06,0.7407,High
73.26,5.59,12.19,4196.31,0.6238,Medium
79.27,11.17,14.76,22146.18,0.8349,Very High
56.7,4.49,9.24,2130.54,0.4733,Low
60.85,4.37,7.5,2791.33,0.4819,Low
69.43,11.92,12.85,19000.39,0.769,High
63.43,4.64,9.55,1152.15,0.4696,Low
63.88,2.08,10.58,3544.42,0.5093,Low
86,11.93,14.61,61153.67,0.9199,Very High
66.1,8.56,13.87,5080.23,0.6559,Medium
61.2,8.09,10.07,2566.98,0.5547,Medium
73.38,5.92,9.82,6733.79,0.6262,Medium
86,12.41,13.3,34647.67,0.8844,Very High
71.22,9.45,13.7,20708.89,0.7614,High
57.46,5.97,10.14,1670.9,0.4902,Low
63.77,6.32,9.66,3907.76,0.5631,Medium
72.93,11.85,17.5,42458.72,0.8688,Very High
82.11,11.55,14.63,69968.14,0.9079,Very High
50.93,2.69,8.56,1233.98,0.3897,Low
55.63,1.7,9.58,1233.06,0.4064,Low
57.62,4.44,5.93,897.13,0.3914,Low
64.67,4.49,11.89,3060.35,0.5545,Medium
64.33,2.9,7.76,2877.85,0.4764,Low
56.96,2.96,7.21,774.59,0.3746,Low
61.34,3.78,8.77,2027.01,0.4746,Low
56.24,5.45,7.41,963.15,0.4196,Low
79.53,11.37,16.39,38183.19,0.882,Very High
66.55,8.71,14.62,10699.73,0.7061,High
53.25,4.08,5.55,1363.4,0.3883,Low
55.19,4.29,9.97,557.62,0.3894,Low
75.11,8.26,13.84,14489.38,0.7492,High
67.2,8.6,8.47,3300.72,0.585,Medium
71.4,7.63,10.27,10599.04,0.6699,Medium
85.41,12.95,15.06,69152.85,0.9433,Very High
47.83,3.58,6.49,623.71,0.3285,Low
73.56,11.45,10.9,16612.3,0.7581,High
76.43,10.27,9.07,7986.93,0.6989,Medium
63.42,4.08,12.8,5433.85,0.583,Medium
69.33,10.37,14.38,10771.36,0.7366,High
50.07,2.73,6.01,710.0,0.3281,Low
51.44,2.48,8.08,1058.66,0.3756,Low
49.43,1.73,8.13,365.73,0.2929,Low
81.87,13.68,14.61,82693.44,0.9361,Very High
51.38,3.29,6.51,375.43,0.3037,Low
67.54,7.72,10.93,5484.36,0.6284,Medium
74.63,9.73,14.69,22807.32,0.7962,High
57.66,2.77,10.48,2028.7,0.4656,Low
60.97,5.03,9.71,5261.11,0.5485,Low
71.79,11.9,15.4,25053.44,0.8183,Very High
73.39,11.68,14.68,25293.32,0.818,Very High
80.83,9.89,16.23,29694.97,0.8564,Very High
56.68,2.13,7.63,402.27,0.3225,Low
57.02,4.6,10.31,2609.56,0.4978,Low
65.06,5.77,8.13,2201.45,0.5135,Low
68.48,6.65,10.69,4955.77,0.6109,Medium
79.01,7.37,14.25,28409.03,0.7921,High
64.29,7.31,13.9,4881.37,0.6317,Medium
68.68,6.94,14.08,5577.26,0.6566,Medium
81.88,11.6,16.0,54592.65,0.9099,Very High
74.62,9.83,16.35,17370.18,0.7999,High
74.63,9.41,14.63,10532.07,0.7523,High
71.06,11.07,11.8,19021.46,0.7571,High
62.37,6.66,8.71,2633.74,0.5307,Low
56.01,4.26,9.8,771.8,0.4137,Low
68.99,9.0,11.24,6981.3,0.6664,Medium
74.03,10.85,15.98,19847.0,0.8119,Very High
59.88,6.0,7.07,2610.39,0.493,Low
57.69,3.69,8.21,851.83,0.4039,Low
73.94,6.53,11.36,9092.71,0.6705,Medium
77.23,8.82,10.24,30770.69,0.761,High
74.37,10.48,15.87,17565.63,0.8021,Very High
60.55,7.78,10.65,4294.29,0.5816,Medium
59.41,7.49,5.6,1123.48,0.4477,Low
61.88,4.2,11.21,2474.52,0.5205,Low
70.33,7.31,9.79,5327.12,0.6212,Medium
56.59,1.85,8.46,1060.74,0.3906,Low
79.64,9.72,13.11,27031.53,0.8113,Very High
65.29,8.76,10.22,6290.02,0.6308,Medium
81.37,13.63,17.65,64961.3,0.9555,Very High
70.99,11.67,13.36,27145.99,0.7962,High
81.35,10.92,11.43,13391.67,0.7807,High
65.77,8.95,13.0,9087.86,0.6815,Medium
85.19,12.82,17.73,55912.44,0.9579,Very High
57.39,6.25,12.96,3614.11,0.5616,Medium
85.72,10.54,16.77,48876.89,0.9144,Very High
51.32,3.35,6.59,856.69,0.3585,Low
71.74,11.28,14.81,15007.62,0.7799,High
72.58,14.08,15.94,69875.97,0.9004,Very High
54.34,1.96,7.13,457.32,0.3174,Low
61.66,5.91,9.1,2264.13,0.5141,Low
67.73,3.65,10.21,3532.1,0.5432,Low
62.17,7.68,8.67,3844.46,0.5622,Medium
70.64,9.44,10.23,18136.71,0.7156,High
86,14.5,14.77,35248.65,0.9251,Very High
58.87,3.03,4.87,597.92,0.3366,Low
86,13.98,15.18,92788.22,0.9611,Very High
74.27,9.71,15.6,33734.03,0.8222,Very High
65.76,8.51,13.04,9598.37,0.6792,Medium
71.91,7.45,10.51,9135.85,0.6651,Medium
61.69,11.09,9.45,6990.09,0.6383,Medium
47.88,3.51,9.08,892.27,0.374,Low
86,12.55,16.11,83438.01,0.9531,Very High
84.99,12.68,15.55,33882.54,0.9094,Very High
47.96,0.86,6.63,639.06,0.2949,Low
62.83,4.12,7.76,2536.97,0.4842,Low
66.74,11.89,14.52,18912.54,0.7693,High
57.12,1.23,6.05,400.06,0.2924,Low
49.75,2.83,11.87,645.33,0.3795,Low
75.98,10.03,16.75,34917.61,0.8477,Very High
79.43,12.15,14.68,53835.15,0.8904,Very High
52.39,2.76,5.29,412.23,0.2942,Low
66.74,5.82,10.28,3812.34,0.5746,Medium
80.35,9.75,15.66,31679.41,0.8498,Very High
85.34,13.72,18,62281.51,0.9763,Very High
53.03,5.4,9.33,1839.23,0.4613,Low
57.87,3.83,10.61,2754.35,0.4977,Low
61.86,8.74,10.42,2881.73,0.5748,Medium
62.04,4.54,12.4,3976.76,0.563,Medium
54.33,1.41,4.13,302.02,0.2425,Low
82.55,10.37,10.59,12146.91,0.7642,High
72.0,5.29,10.03,4591.01,0.5947,Medium
51.19,1.85,7.51,532.16,0.32,Low
73.47,9.55,12.64,25964.03,0.7733,High
50.58,3.32,8.12,1038.61,0.3824,Low
56.87,4.06,7.36,765.7,0.3899,Low
58.5,4.22,10.56,1047.91,0.4502,Low
84.67,10.54,14.95,34309.37,0.8761,Very High
83.98,13.02,17.3,36901.36,0.9298,Very High
86,11.23,16.6,89139.17,0.9418,Very High
76.94,9.7,15.98,74462.22,0.8757,Very High
82.06,10.62,16.31,56070.8,0.9032,Very High
74.53,11.45,18,30893.29,0.8621,Very High
54.93,5.55,11.14,1533.92,0.4785,Low
54.02,4.0,8.11,947.05,0.3995,Low
77.93,7.84,13.63,13509.2,0.7504,High
69.98,9.91,13.1,8386.42,0.7095,High
77.81,8.14,12.76,16173.44,0.7533,High
77.37,11.13,17.89,50348.82,0.8963,Very High
69.15,4.63,11.29,3536.28,0.5754,Medium
57.2,1.25,3.72,416.22,0.2615,Low
78.9,14.04,14.22,71667.79,0.9192,Very High
86,13.55,17.26,70942.04,0.9737,Very High
66.69,4.9,11.28,5008.91,0.5872,Medium
65.68,8.38,12.25,2818.39,0.6033,Medium
67.45,7.03,9.86,2579.22,0.5669,Medium
55.74,2.15,7.48,1142.45,0.3838,Low
67.17,9.68,12.94,6488.11,0.6782,Medium
86,13.07,17.08,84277.4,0.9691,Very High
56.22,1.22,4.68,804.31,0.3105,Low
83.72,13.21,16.06,44703.59,0.9287,Very High
52.39,2.16,8.04,841.94,0.3618,Low
76.22,10.39,15.18,18572.73,0.8063,Very High
75.42,10.98,11.94,25345.65,0.7923,High
46.56,3.22,7.77,928.66,0.3542,Low
69.2,2.74,10.0,3569.86,0.5324,Low
82.22,12.36,18,62869.73,0.9472,Very High
73.73,9.66,15.13,26570.19,0.8028,Very High
